name,tradingsymbol,instrument_key
SANDUR MANG & IRON ORES L,SANDUMA,NSE_EQ|INE149K01016
KOLTE PATIL DEV. LTD.,KOLTEPATIL,NSE_EQ|INE094I01018
SAKTHI SUGARS LTD,SAKHTISUG,NSE_EQ|INE623A01011
BLUE JET HEALTHCARE LTD,BLUEJET,NSE_EQ|INE0KBH01020
KOKUYO CAMLIN LIMITED,KOKUYOCMLN,NSE_EQ|INE760A01029
GSS INFOTECH LIMITED,GSS,NSE_EQ|INE871H01011
RAVI KUMAR DIST. LTD.,RKDL,NSE_EQ|INE722J01012
STRIDES PHARMA SCI LTD,STAR,NSE_EQ|INE939A01011
CEAT LIMITED,CEATLTD,NSE_EQ|INE482A01020
ORIENTAL TRIMEX LTD,ORIENTALTL,NSE_EQ|INE998H01012
DB (INT) STOCK BROKERS,DBSTOCKBRO,NSE_EQ|INE921B01025
ROTO PUMPS LIMITED,ROTO,NSE_EQ|INE535D01037
BIKAJI FOODS INTERN LTD,BIKAJI,NSE_EQ|INE00E101023
ICRA LIMITED,ICRA,NSE_EQ|INE725G01011
SUNDARAM FINANCE LTD,SUNDARMFIN,NSE_EQ|INE660A01013
WEST COAST PAPER MILLS LT,WSTCSTPAPR,NSE_EQ|INE976A01021
SAFARI IND (INDIA) LTD,SAFARI,NSE_EQ|INE429E01023
G M BREWERIES LTD,GMBREW,NSE_EQ|INE075D01018
GODREJ AGROVET LIMITED,GODREJAGRO,NSE_EQ|INE850D01014
DIVI S LABORATORIES LTD,DIVISLAB,NSE_EQ|INE361B01024
NOCIL LIMITED,NOCIL,NSE_EQ|INE163A01018
TATA TELESERV(MAHARASTRA),TTML,NSE_EQ|INE517B01013
V2 RETAIL LIMITED,V2RETAIL,NSE_EQ|INE945H01013
ECOS (INDIA) MOB & HOSP L,ECOSMOBLTY,NSE_EQ|INE06HJ01020
CHEVIOT COMPANY LIMITED,CHEVIOT,NSE_EQ|INE974B01016
SYNERGY GREEN IND. LTD,SGIL,NSE_EQ|INE00QT01015
COHANCE LIFESCIENCES LTD,COHANCE,NSE_EQ|INE03QK01018
KFIN TECHNOLOGIES LIMITED,KFINTECH,NSE_EQ|INE138Y01010
FOSECO INDIA LTD,FOSECOIND,NSE_EQ|INE519A01011
AJOONI BIOTECH LIMITED,AJOONI,NSE_EQ|INE820Y01021
SARDA ENERGY & MIN LTD,SARDAEN,NSE_EQ|INE385C01021
BAJAJ HOUSING FINANCE LTD,BAJAJHFL,NSE_EQ|INE377Y01014
EMCURE PHARMACEUTICALS L,EMCURE,NSE_EQ|INE168P01015
AMJ LAND HOLDINGS LIMITED,AMJLAND,NSE_EQ|INE606A01024
AARTI DRUGS LTD.,AARTIDRUGS,NSE_EQ|INE767A01016
DHANLAXMI BANK LIMITED,DHANBANK,NSE_EQ|INE680A01011
VST INDUSTRIES LTD,VSTIND,NSE_EQ|INE710A01016
JTEKT INDIA LIMITED,JTEKTINDIA,NSE_EQ|INE643A01035
BHARTI HEXACOM LIMITED,BHARTIHEXA,NSE_EQ|INE343G01021
GENERAL INS CORP OF INDIA,GICRE,NSE_EQ|INE481Y01014
JUBILANT FOODWORKS LTD,JUBLFOOD,NSE_EQ|INE797F01020
OSWAL GREENTECH LIMITED,OSWALGREEN,NSE_EQ|INE143A01010
SPECIALITY REST LTD,SPECIALITY,NSE_EQ|INE247M01014
PRESTIGE ESTATE LTD,PRESTIGE,NSE_EQ|INE811K01011
BANG OVERSEAS LTD.,BANG,NSE_EQ|INE863I01016
ARSHIYA LIMITED,ARSHIYA,NSE_EQ|INE968D01022
VISHAL MEGA MART LIMITED,VMM,NSE_EQ|INE01EA01019
DCM LTD,DCM,NSE_EQ|INE498A01018
ARMAN FIN SERV LTD,ARMANFIN,NSE_EQ|INE109C01017
POKARNA LIMITED,POKARNA,NSE_EQ|INE637C01025
MAX FINANCIAL SERV LTD,MFSL,NSE_EQ|INE180A01020
SPECTRUM ELECTRIC IND LTD,SPECTRUM,NSE_EQ|INE01EO01010
APOLLO SINDOORI HOTEL LTD,APOLSINHOT,NSE_EQ|INE451F01024
VINEET LABORATORIES LTD,VINEETLAB,NSE_EQ|INE505Y01010
JAI BALAJI INDUSTRIES LTD,JAIBALAJI,NSE_EQ|INE091G01026
B.A.G FILMS AND MEDIA LTD,BAGFILMS,NSE_EQ|INE116D01028
INVENTURE GRO & SEC LTD,INVENTURE,NSE_EQ|INE878H01024
CELLO WORLD LIMITED,CELLO,NSE_EQ|INE0LMW01024
UTTAM SUGAR MILLS LTD.,UTTAMSUGAR,NSE_EQ|INE786F01031
PENNAR INDUSTRIES LTD,PENIND,NSE_EQ|INE932A01024
MEP INFRA. DEVELOPERS LTD,MEP,NSE_EQ|INE776I01010
RAJNANDINI METAL LIMITED,RAJMET,NSE_EQ|INE00KV01022
BOROSIL LIMITED,BOROLTD,NSE_EQ|INE02PY01013
TIJARIA POLYPIPES LTD,TIJARIA,NSE_EQ|INE440L01017
NATIONAL FERT. LTD,NFL,NSE_EQ|INE870D01012
ACE INTEGRATED SOLU. LTD.,ACEINTEG,NSE_EQ|INE543V01017
SAHYADRI INDUSTRIES LTD,SAHYADRI,NSE_EQ|INE280H01015
CHOICE INTERNATIONAL LTD,CHOICEIN,NSE_EQ|INE102B01014
SITI NETWORKS LIMITED,SITINET,NSE_EQ|INE965H01011
ENGINEERS INDIA LTD,ENGINERSIN,NSE_EQ|INE510A01028
WILLIAMSON MAGOR,WILLAMAGOR,NSE_EQ|INE210A01017
AU SMALL FINANCE BANK LTD,AUBANK,NSE_EQ|INE949L01017
AVT NATURAL PRODUCTS LTD,AVTNPL,NSE_EQ|INE488D01021
MSTC LIMITED,MSTCLTD,NSE_EQ|INE255X01014
VA TECH WABAG LTD,WABAG,NSE_EQ|INE956G01038
PRABHA ENERGY LIMITED,PRABHA,NSE_EQ|INE0I0M01023
FAZE THREE LIMITED,FAZE3Q,NSE_EQ|INE963C01033
GREENLAM INDUSTRIES LTD.,GREENLAM,NSE_EQ|INE544R01021
ORACLE FIN SERV SOFT LTD.,OFSS,NSE_EQ|INE881D01027
IRIS CLOTHINGS LIMITED,IRISDOREME,NSE_EQ|INE01GN01025
MAAN ALUMINIUM LIMITED,MAANALU,NSE_EQ|INE215I01027
RAMKY INFRA LTD,RAMKY,NSE_EQ|INE874I01013
HINDUSTAN UNILEVER LTD.,HINDUNILVR,NSE_EQ|INE030A01027
YATHARTH HOSP & TRA C S L,YATHARTH,NSE_EQ|INE0JO301016
APEX FROZEN FOODS LIMITED,APEX,NSE_EQ|INE346W01013
GHCL LIMITED,GHCL,NSE_EQ|INE539A01019
SHANKARA BLDG PRODUCT LTD,SHANKARA,NSE_EQ|INE274V01019
MANGALAM GLOBAL ENT LTD,MGEL,NSE_EQ|INE0APB01032
SKM EGG PROD-ROLL SETT,SKMEGGPROD,NSE_EQ|INE411D01015
KILITCH DRUGS INDIA LTD,KILITCH,NSE_EQ|INE729D01010
MARAL OVERSEAS LTD,MARALOVER,NSE_EQ|INE882A01013
DONEAR IND. LIMITED,DONEAR,NSE_EQ|INE668D01028
HDFC LIFE INS CO LTD,HDFCLIFE,NSE_EQ|INE795G01014
JASH ENGINEERING LIMITED,JASH,NSE_EQ|INE039O01029
DEVYANI INTERNATIONAL LTD,DEVYANI,NSE_EQ|INE872J01023
LEXUS GRANITO (INDIA) LTD,LEXUS,NSE_EQ|INE500X01013
MITCON CON & ENG SER LTD,MITCON,NSE_EQ|INE828O01033
PDS LIMITED,PDSL,NSE_EQ|INE111Q01021
THEJO ENGINEERING LIMITED,THEJO,NSE_EQ|INE121N01019
CYBER MEDIA (INDIA) LTD.,CYBERMEDIA,NSE_EQ|INE278G01037
CANARA BANK,CANBK,NSE_EQ|INE476A01022
HAPPIEST MINDS TECHNO LTD,HAPPSTMNDS,NSE_EQ|INE419U01012
UCO BANK,UCOBANK,NSE_EQ|INE691A01018
SANGHVI MOVERS LTD,SANGHVIMOV,NSE_EQ|INE989A01032
ASAHI INDIA GLASS LIMITED,ASAHIINDIA,NSE_EQ|INE439A01020
SMS PHARMACEUTICALS LTD.,SMSPHARMA,NSE_EQ|INE812G01025
PARAMOUNT COMM LTD,PARACABLES,NSE_EQ|INE074B01023
SHREE VASU LOGISTICS LTD,SVLL,NSE_EQ|INE00CE01017
KRYSTAL INTEGRATED SER L,KRYSTAL,NSE_EQ|INE0QN801017
MANGALAM ORGANICS LIMITED,MANORG,NSE_EQ|INE370D01013
MULTI COMMODITY EXCHANGE,MCX,NSE_EQ|INE745G01035
ORIENTAL AROMATICS LTD,OAL,NSE_EQ|INE959C01023
SAGILITY INDIA LIMITED,SAGILITY,NSE_EQ|INE0W2G01015
PAR DRUGS AND CHEM LTD,PAR,NSE_EQ|INE04LG01015
JANA SMALL FIN BANK LTD,JSFB,NSE_EQ|INE953L01027
ORCHASP LIMITED,ORCHASP,NSE_EQ|INE215B01022
ANUPAM RASAYAN INDIA LTD,ANURAS,NSE_EQ|INE930P01018
ANDHRA SUGARS LTD,ANDHRSUGAR,NSE_EQ|INE715B01021
ALLCARGO GATI LIMITED,ACLGATI,NSE_EQ|INE152B01027
SAMMAAN CAPITAL LIMITED,SAMMAANCAP,NSE_EQ|INE148I01020
SEMAC CONSULTANTS LIMITED,SEMAC,NSE_EQ|INE617A01013
NUVOCO VISTAS CORP LTD,NUVOCO,NSE_EQ|INE118D01016
DIGITIDE SOLUTIONS LTD,DIGITIDE,NSE_EQ|INE0U4701011
PICCADILY AGRO INDUSTRI L,PICCADIL,NSE_EQ|INE546C01010
MODI RUBBER LTD,MODIRUBBER,NSE_EQ|INE832A01018
HINDUSTAN COPPER LTD,HINDCOPPER,NSE_EQ|INE531E01026
TANLA PLATFORMS LIMITED,TANLA,NSE_EQ|INE483C01032
JK CEMENT LIMITED,JKCEMENT,NSE_EQ|INE823G01014
GLOBUS SPIRITS LTD,GLOBUSSPR,NSE_EQ|INE615I01010
NATCO PHARMA LTD.,NATCOPHARM,NSE_EQ|INE987B01026
URJA GLOBAL LIMITED,URJA,NSE_EQ|INE550C01020
SHRIRAM FINANCE LIMITED,SHRIRAMFIN,NSE_EQ|INE721A01047
DREDGING CORP OF INDIA,DREDGECORP,NSE_EQ|INE506A01018
KAKATIYA CEM SUGAR &IND L,KAKATCEM,NSE_EQ|INE437B01014
LATTEYS INDUSTRIES LTD,LATTEYS,NSE_EQ|INE262Z01023
BANK OF BARODA,BANKBARODA,NSE_EQ|INE028A01039
GOPAL SNACKS LIMITED,GOPAL,NSE_EQ|INE0L9R01028
BHARAT ROAD NETWORK LTD,BRNL,NSE_EQ|INE727S01012
VAISHALI PHARMA LIMITED,VAISHALI,NSE_EQ|INE972X01022
VASWANI IND LTD,VASWANI,NSE_EQ|INE590L01019
MACROTECH DEVELOPERS LTD,LODHA,NSE_EQ|INE670K01029
TITAN COMPANY LIMITED,TITAN,NSE_EQ|INE280A01028
GE POWER INDIA LIMITED,GEPIL,NSE_EQ|INE878A01011
IFCI LTD,IFCI,NSE_EQ|INE039A01010
GARWARE HI-TECH FILMS LTD,GRWRHITECH,NSE_EQ|INE291A01017
LAXMI ORGANIC INDUS LTD,LXCHEM,NSE_EQ|INE576O01020
STEEL STRIPS WHEELS LTD.,SSWL,NSE_EQ|INE802C01033
DANGEE DUMS LIMITED,DANGEE,NSE_EQ|INE688Y01022
ALMONDZ GLOBAL SEC LTD,ALMONDZ,NSE_EQ|INE326B01035
S CHAND AND COMPANY LTD,SCHAND,NSE_EQ|INE807K01035
GATEWAY DISTRIPARKS LTD,GATEWAY,NSE_EQ|INE079J01017
JAGSONPAL PHARMACEUTICALS,JAGSNPHARM,NSE_EQ|INE048B01035
ASTER DM HEALTHCARE LTD.,ASTERDM,NSE_EQ|INE914M01019
HERITAGE FOODS LTD,HERITGFOOD,NSE_EQ|INE978A01027
TEXMACO INFRA & HOLDG LTD,TEXINFRA,NSE_EQ|INE435C01024
PRECISION WIRES INDIA LTD,PRECWIRE,NSE_EQ|INE372C01037
CLEAN SCIENCE & TECH LTD,CLEAN,NSE_EQ|INE227W01023
RAYMOND REALTY LIMITED,RAYMONDREL,NSE_EQ|INE1SY401010
SHIVALIK RASAYAN LIMITED,SHIVALIK,NSE_EQ|INE788J01021
VISA STEEL LIMITED,VISASTEEL,NSE_EQ|INE286H01012
SAI LIFE SCIENCES LIMITED,SAILIFE,NSE_EQ|INE570L01029
DHANUKA AGRITECH LTD,DHANUKA,NSE_EQ|INE435G01025
MUKTA ARTS LIMITED,MUKTAARTS,NSE_EQ|INE374B01019
REPRO INDIA LIMITED,REPRO,NSE_EQ|INE461B01014
WHIRLPOOL OF INDIA LTD,WHIRLPOOL,NSE_EQ|INE716A01013
IND MOTOR PART & ACC LTD,IMPAL,NSE_EQ|INE547E01014
ARCHEAN CHEMICAL IND LTD,ACI,NSE_EQ|INE128X01021
GENERIC ENG CONS PROJ LTD,GENCON,NSE_EQ|INE854S01022
KRISHANA PHOSCHEM LIMITED,KRISHANA,NSE_EQ|INE506W01012
HERO MOTOCORP LIMITED,HEROMOTOCO,NSE_EQ|INE158A01026
PLASTIBLENDS INDIA LTD,PLASTIBLEN,NSE_EQ|INE083C01022
MANAKSIA STEELS LTD,MANAKSTEEL,NSE_EQ|INE824Q01011
GABRIEL INDIA LTD,GABRIEL,NSE_EQ|INE524A01029
IKIO TECHNOLOGIES LIMITED,IKIO,NSE_EQ|INE0LOJ01019
LIKHITHA INFRASTRUC LTD,LIKHITHA,NSE_EQ|INE060901027
METROPOLIS HEALTHCARE LTD,METROPOLIS,NSE_EQ|INE112L01020
GO DIGIT GENERAL INS LTD,GODIGIT,NSE_EQ|INE03JT01014
KPI GREEN ENERGY LIMITED,KPIGREEN,NSE_EQ|INE542W01025
UNO MINDA LIMITED,UNOMINDA,NSE_EQ|INE405E01023
LLOYDS ENTERPRISES LTD,LLOYDSENT,NSE_EQ|INE080I01025
RSWM LIMITED,RSWM,NSE_EQ|INE611A01016
DPSC LIMITED,DPSCLTD,NSE_EQ|INE360C01024
UFO MOVIEZ INDIA LTD.,UFO,NSE_EQ|INE527H01019
ASK AUTOMOTIVE LIMITED,ASKAUTOLTD,NSE_EQ|INE491J01022
VARDHMAN SPC STEEL LTD,VSSL,NSE_EQ|INE050M01012
HEIDELBERGCEMENT (I) LTD,HEIDELBERG,NSE_EQ|INE578A01017
CHAMAN LAL SETIA EXP LTD,CLSEL,NSE_EQ|INE419D01026
RUBFILA INTERNATIONAL LTD,RUBFILA,NSE_EQ|INE642C01025
HITECH CORPORATION LTD,HITECHCORP,NSE_EQ|INE120D01012
ALANKIT LIMITED,ALANKIT,NSE_EQ|INE914E01040
WHEELS INDIA LTD,WHEELS,NSE_EQ|INE715A01015
SUNFLAG IRON AND STEEL CO,SUNFLAG,NSE_EQ|INE947A01014
SHANKAR LAL RAMPAL LTD,SRD,NSE_EQ|INE01NE01012
ASHAPURA MINECHEM LTD,ASHAPURMIN,NSE_EQ|INE348A01023
DELPHI WORLD MONEY LTD,DELPHIFX,NSE_EQ|INE726L01019
SUBEX LTD,SUBEXLTD,NSE_EQ|INE754A01055
BLB LIMITED,BLBLIMITED,NSE_EQ|INE791A01024
HUBTOWN LIMITED,HUBTOWN,NSE_EQ|INE703H01016
THE P K TEA PROD CO LTD,PKTEA,NSE_EQ|INE431F01018
GAYATRI PROJECTS LTD,GAYAPROJ,NSE_EQ|INE336H01023
R R KABEL LIMITED,RRKABEL,NSE_EQ|INE777K01022
SBI LIFE INSURANCE CO LTD,SBILIFE,NSE_EQ|INE123W01016
ONE MOBIKWIK SYSTEMS LTD,MOBIKWIK,NSE_EQ|INE0HLU01028
MAHA RASHTRA APEX COPR. L,MAHAPEXLTD,NSE_EQ|INE843B01013
VICEROY HOTELS LIMITED,VHLTD,NSE_EQ|INE048C01025
TWAMEV CONS AND INFRA LTD,TICL,NSE_EQ|INE388G01026
ELECTRONICS MART IND LTD,EMIL,NSE_EQ|INE02YR01019
CUMMINS INDIA LTD,CUMMINSIND,NSE_EQ|INE298A01020
THE NEW INDIA ASSU CO LTD,NIACL,NSE_EQ|INE470Y01017
ASHIANA HOUSING LTD,ASHIANA,NSE_EQ|INE365D01021
BIRLA CABLE LIMITED,BIRLACABLE,NSE_EQ|INE800A01015
TATA CONSUMER PRODUCT LTD,TATACONSUM,NSE_EQ|INE192A01025
IRIS BUSINESS SERV LTD,IRIS,NSE_EQ|INE864K01010
THANGAMAYIL JEWELLERY LTD,THANGAMAYL,NSE_EQ|INE085J01014
AARTI INDUSTRIES LTD,AARTIIND,NSE_EQ|INE769A01020
KARNATAKA BANK LIMITED,KTKBANK,NSE_EQ|INE614B01018
SYNGENE INTERNATIONAL LTD,SYNGENE,NSE_EQ|INE398R01022
AVANTEL LIMITED,AVANTEL,NSE_EQ|INE005B01027
AMD INDUSTRIES LIMITED,AMDIND,NSE_EQ|INE005I01014
TATA MOTORS LIMITED,TATAMOTORS,NSE_EQ|INE155A01022
BARBEQUE NATION HOSP. LTD,BARBEQUE,NSE_EQ|INE382M01027
QUICK HEAL TECH LTD,QUICKHEAL,NSE_EQ|INE306L01010
BALRAMPUR CHINI MILLS LTD,BALRAMCHIN,NSE_EQ|INE119A01028
ARTEMIS MED SERVICE LTD,ARTEMISMED,NSE_EQ|INE025R01021
VARDHAMAN ACRYLICS LTD,VARDHACRLC,NSE_EQ|INE116G01013
THE INVEST TRUST OF IND L,THEINVEST,NSE_EQ|INE924D01017
UNITED DRILLING TOOLS LTD,UNIDT,NSE_EQ|INE961D01019
I G PETROCHEMICALS LTD,IGPL,NSE_EQ|INE204A01010
BAJAJ HOLDINGS & INVS LTD,BAJAJHLDNG,NSE_EQ|INE118A01012
SHALBY LIMITED,SHALBY,NSE_EQ|INE597J01018
KAUSHALYA INFRA DEV LTD.,KAUSHALYA,NSE_EQ|INE234I01028
STERLING TOOLS LIMITED,STERTOOLS,NSE_EQ|INE334A01023
HI-TECH PIPES LIMITED,HITECH,NSE_EQ|INE106T01025
NATURAL CAPSULES LIMITED,NATCAPSUQ,NSE_EQ|INE936B01015
SIKKO INDUSTRIES LIMITED,SIKKO,NSE_EQ|INE112X01017
VIPUL LIMITED,VIPULLTD,NSE_EQ|INE946H01037
NRB BEARING LIMITED,NRBBEARING,NSE_EQ|INE349A01021
INDO RAMA SYNTHETICS LTD,INDORAMA,NSE_EQ|INE156A01020
ATLANTAA LIMITED,ATLANTAA,NSE_EQ|INE285H01022
SUMITOMO CHEM INDIA LTD,SUMICHEM,NSE_EQ|INE258G01013
GRAPHITE INDIA LTD,GRAPHITE,NSE_EQ|INE371A01025
KPR MILL LTD.,KPRMILL,NSE_EQ|INE930H01031
SUPREME HOLDIN N HOSP I L,SUPREME,NSE_EQ|INE822E01011
WENDT (INDIA) LIMITED,WENDT,NSE_EQ|INE274C01019
SHALIM PAINTS LTD,SHALPAINTS,NSE_EQ|INE849C01026
ICDSLTD,ICDSLTD,NSE_EQ|INE613B01010
KARMA ENERGY LIMITED,KARMAENG,NSE_EQ|INE725L01011
SILLY MONKS ENTERTAIN LTD,SILLYMONKS,NSE_EQ|INE203Y01012
VESUVIUS INDIA LTD,VESUVIUS,NSE_EQ|INE386A01023
TAMILNAD MERCA BANK LTD,TMB,NSE_EQ|INE668A01016
AVANTI FEEDS LIMITED,AVANTIFEED,NSE_EQ|INE871C01038
THE WESTERN INDIA PLY LTD,WIPL,NSE_EQ|INE215F01023
CINELINE INDIA LIMITED,CINELINE,NSE_EQ|INE704H01022
SHRENIK LIMITED,SHRENIK,NSE_EQ|INE632X01030
GFL LIMITED,GFLLIMITED,NSE_EQ|INE538A01037
SHREEOSWAL S AND CHE LTD,OSWALSEEDS,NSE_EQ|INE00IK01029
SHAILY ENG PLASTICS LTD,SHAILY,NSE_EQ|INE151G01028
N.B.I. IND. FIN. CO. LTD,NBIFIN,NSE_EQ|INE365I01020
THE UGAR SUGAR WORKS LTD,UGARSUGAR,NSE_EQ|INE071E01023
RICO AUTO INDUSTRIES LTD,RICOAUTO,NSE_EQ|INE209B01025
PRIVI SPECIALITY CHE LTD,PRIVISCL,NSE_EQ|INE959A01019
TIMES GUARANTY LIMITED,TIMESGTY,NSE_EQ|INE289C01025
BASF INDIA LTD,BASF,NSE_EQ|INE373A01013
GOCL CORPORATION LIMITED,GOCLCORP,NSE_EQ|INE077F01035
SHRADHA INFRAPROJECTS LTD,SHRADHA,NSE_EQ|INE715Y01031
RAMCO SYSTEMS LTD,RAMCOSYS,NSE_EQ|INE246B01019
ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,NSE_EQ|INE674K01013
KHAITAN CHEM & FERT LTD,KHAICHEM,NSE_EQ|INE745B01028
HINDUSTAN PETROLEUM CORP,HINDPETRO,NSE_EQ|INE094A01015
HINDUSTAN COMPOSITES LTD.,HINDCOMPOS,NSE_EQ|INE310C01029
NRB INDUS. BEARINGS LTD.,NIBL,NSE_EQ|INE047O01014
NARAYANA HRUDAYALAYA LTD.,NH,NSE_EQ|INE410P01011
K M SUGAR MILLS LTD,KMSUGAR,NSE_EQ|INE157H01023
VINATI ORGANICS LTD,VINATIORGA,NSE_EQ|INE410B01037
SUN PHARMA ADV.RES.CO.LTD,SPARC,NSE_EQ|INE232I01014
RELIANCE POWER LTD.,RPOWER,NSE_EQ|INE614G01033
ASTRAZENECA PHARMA IND LT,ASTRAZEN,NSE_EQ|INE203A01020
OIL INDIA LTD,OIL,NSE_EQ|INE274J01014
APAR INDUSTRIES LTD.,APARINDS,NSE_EQ|INE372A01015
NOIDA TOLL BRIDGE CO LTD,NOIDATOLL,NSE_EQ|INE781B01015
CARE RATINGS LIMITED,CARERATING,NSE_EQ|INE752H01013
ORISSA MIN DEV CO LTD,ORISSAMINE,NSE_EQ|INE725E01024
PILANI INV & IND COR LTD,PILANIINVS,NSE_EQ|INE417C01014
SARASWATI SAREE DEPOT LTD,SSDL,NSE_EQ|INE0PQ101010
ACUTAAS CHEMICALS LIMITED,ACUTAAS,NSE_EQ|INE00FF01025
KANORIA CHEMICALS & INDUS,KANORICHEM,NSE_EQ|INE138C01024
SPORTKING INDIA LIMITED,SPORTKING,NSE_EQ|INE885H01029
LUX INDUSTRIES LIMITED,LUXIND,NSE_EQ|INE150G01020
SURYA ROSHNI LTD,SURYAROSNI,NSE_EQ|INE335A01020
EXCEL REALTY N INFRA LTD,EXCEL,NSE_EQ|INE688J01023
AGS TRANSACT TECH LTD,AGSTRA,NSE_EQ|INE583L01014
BRAINBEES SOLUTIONS LTD,FIRSTCRY,NSE_EQ|INE02RE01045
YES BANK LIMITED,YESBANK,NSE_EQ|INE528G01035
ITI LTD,ITI,NSE_EQ|INE248A01017
SUPRIYA LIFESCIENCE LTD,SUPRIYA,NSE_EQ|INE07RO01027
CANTABIL RETAIL LTD,CANTABIL,NSE_EQ|INE068L01024
NATH BIO-GENES (I) LTD,NATHBIOGEN,NSE_EQ|INE448G01010
BLS E-SERVICES LIMITED,BLSE,NSE_EQ|INE0NLT01010
NUVAMA WEALTH MANAGE LTD,NUVAMA,NSE_EQ|INE531F01015
KEYNOTE FIN SERV LTD.,KEYFINSERV,NSE_EQ|INE681C01015
NIIT LEARNING SYSTEMS LTD,NIITMTS,NSE_EQ|INE342G01023
ELGI EQUIPMENTS LTD,ELGIEQUIP,NSE_EQ|INE285A01027
KALYANI INVEST CO LTD,KICL,NSE_EQ|INE029L01018
SUNDARAM CLAYTON LIMITED,SUNCLAY,NSE_EQ|INE0Q3R01026
PITTI ENGINEERING LIMITED,PITTIENG,NSE_EQ|INE450D01021
AKSH OPTIFIBRE LIMITED,AKSHOPTFBR,NSE_EQ|INE523B01011
UNIVERSUS IMAGINGS LTD,UNIVPHOTO,NSE_EQ|INE03V001013
SHIVA TEXYARN LIMITED,SHIVATEX,NSE_EQ|INE705C01020
KUANTUM PAPERS LIMITED,KUANTUM,NSE_EQ|INE529I01021
ARCHIDPLY DECOR LIMITED,ADL,NSE_EQ|INE0CHO01012
ELGI RUBBER CO. LTD,ELGIRUBCO,NSE_EQ|INE819L01012
ISGEC HEAVY ENG LTD,ISGEC,NSE_EQ|INE858B01029
INTERARCH BLDNG SOLTN LTD,INTERARCH,NSE_EQ|INE00M901018
RUCHIRA PAPERS LIMITED,RUCHIRA,NSE_EQ|INE803H01014
OBEROI REALTY LIMITED,OBEROIRLTY,NSE_EQ|INE093I01010
MUTHOOT CAP SERV LTD,MUTHOOTCAP,NSE_EQ|INE296G01013
JTL INDUSTRIES LIMITED,JTLIND,NSE_EQ|INE391J01032
SUVIDHAA INFOSERVE LTD,SUVIDHAA,NSE_EQ|INE018401013
FOCUS LIGHTG & FIXTRS LTD,FOCUS,NSE_EQ|INE593W01028
INOX INDIA LIMITED,INOXINDIA,NSE_EQ|INE616N01034
JINDAL DRILLING IND. LTD,JINDRILL,NSE_EQ|INE742C01031
KRISHIVAL FOODS LIMITED,KRISHIVAL,NSE_EQ|INE0GGO01015
HISAR METAL IND. LIMITED,HISARMETAL,NSE_EQ|INE598C01011
THE INDIA CEMENTS LIMITED,INDIACEM,NSE_EQ|INE383A01012
RANE (MADRAS) LIMITED,RML,NSE_EQ|INE050H01012
RUPA & COMPANY LTD,RUPA,NSE_EQ|INE895B01021
URAVI DEFENCE &TECH LTD,URAVIDEF,NSE_EQ|INE568Z01015
KOHINOOR FOODS LIMITED,KOHINOOR,NSE_EQ|INE080B01012
ICICI PRU LIFE INS CO LTD,ICICIPRULI,NSE_EQ|INE726G01019
CYIENT DLM LIMITED,CYIENTDLM,NSE_EQ|INE055S01018
ALEMBIC PHARMA LTD,APLLTD,NSE_EQ|INE901L01018
HINDUJA GLOBAL SOLS. LTD.,HGS,NSE_EQ|INE170I01016
MANGAL CREDIT N FINCORP L,MANCREDIT,NSE_EQ|INE545L01039
ETHOS LIMITED,ETHOSLTD,NSE_EQ|INE04TZ01018
MAHARASHTRA SEAMLESS LTD,MAHSEAMLES,NSE_EQ|INE271B01025
ACC LIMITED,ACC,NSE_EQ|INE012A01025
TRIB BHIMJI ZAVERI LTD,TBZ,NSE_EQ|INE760L01018
NMDC STEEL LIMITED,NSLNISP,NSE_EQ|INE0NNS01018
RADICO KHAITAN LTD,RADICO,NSE_EQ|INE944F01028
HATHWAY CABLE & DATACOM,HATHWAY,NSE_EQ|INE982F01036
INDIA NIPPON ELECT  LTD,INDNIPPON,NSE_EQ|INE092B01025
PNB HOUSING FIN LTD.,PNBHOUSING,NSE_EQ|INE572E01012
APOLLO PIPES LIMITED,APOLLOPIPE,NSE_EQ|INE126J01016
TRANSWORLD SHIP LINES LTD,TRANSWORLD,NSE_EQ|INE757B01015
SECMARK CONSULTANCY LTD,SECMARK,NSE_EQ|INE0BTM01013
VISHNU CHEMICALS LIMITED,VISHNU,NSE_EQ|INE270I01022
MOSCHIP TECHNOLOGIES LTD,MOSCHIP,NSE_EQ|INE935B01025
LLOYDS METALS N ENERGY L,LLOYDSME,NSE_EQ|INE281B01032
INFOBEANS TECHNO. LTD.,INFOBEAN,NSE_EQ|INE344S01016
SONA BLW PRECISION FRGS L,SONACOMS,NSE_EQ|INE073K01018
BOMBAY BURMAH TRADING COR,BBTC,NSE_EQ|INE050A01025
KRONOX LAB SCIENCES LTD,KRONOX,NSE_EQ|INE0ATZ01017
KAVERI SEED CO. LTD.,KSCL,NSE_EQ|INE455I01029
SANOFI INDIA LIMITED,SANOFI,NSE_EQ|INE058A01010
INDUSIND BANK LIMITED,INDUSINDBK,NSE_EQ|INE095A01012
EIH ASSOCIATED HOTELS LTD,EIHAHOTELS,NSE_EQ|INE276C01014
STYLAM INDUSTRIES LIMITED,STYLAMIND,NSE_EQ|INE239C01020
GUJARAT FLUOROCHEM LTD,FLUOROCHEM,NSE_EQ|INE09N301011
